source	target	relation
PUBCHEM.COMPOUND:10152654	NCBIGENE:1513	-1
PUBCHEM.COMPOUND:10154	NCBIGENE:652	-1
PUBCHEM.COMPOUND:10154438	NCBIGENE:1786	-1
PUBCHEM.COMPOUND:10154438	NCBIGENE:595	-1
PUBCHEM.COMPOUND:10165596	NCBIGENE:7099	1
PUBCHEM.COMPOUND:10168	NCBIGENE:7350	1
PUBCHEM.COMPOUND:10168	NCBIGENE:5468	-1
PUBCHEM.COMPOUND:10171240	NCBIGENE:1806	-1
PUBCHEM.COMPOUND:10172275	NCBIGENE:3600	-1
PUBCHEM.COMPOUND:10172943	NCBIGENE:7157	1
PUBCHEM.COMPOUND:10173277	NCBIGENE:3592	-1
PUBCHEM.COMPOUND:10173277	NCBIGENE:5966	-1
PUBCHEM.COMPOUND:101746	NCBIGENE:836	-1
PUBCHEM.COMPOUND:10176161	NCBIGENE:4942	-1
PUBCHEM.COMPOUND:10176415	NCBIGENE:1128	1
PUBCHEM.COMPOUND:10177784	NCBIGENE:81033	1
PUBCHEM.COMPOUND:1018	NCBIGENE:130013	-1
PUBCHEM.COMPOUND:10180	NCBIGENE:1509	1
PUBCHEM.COMPOUND:10180	NCBIGENE:328	-1
PUBCHEM.COMPOUND:10180	NCBIGENE:7150	-1
PUBCHEM.COMPOUND:10180	NCBIGENE:7153	-1
PUBCHEM.COMPOUND:10182969	NCBIGENE:2159	-1
PUBCHEM.COMPOUND:10184653	NCBIGENE:1956	-1
PUBCHEM.COMPOUND:10184653	NCBIGENE:2064	-1
PUBCHEM.COMPOUND:10184653	NCBIGENE:2066	-1
PUBCHEM.COMPOUND:10184653	NCBIGENE:255738	-1
PUBCHEM.COMPOUND:10184653	NCBIGENE:57650	-1
PUBCHEM.COMPOUND:10184653	NCBIGENE:9429	-1
PUBCHEM.COMPOUND:10186367	NCBIGENE:3676	-1
PUBCHEM.COMPOUND:10192617	NCBIGENE:4128	-1
PUBCHEM.COMPOUND:10192617	NCBIGENE:4129	-1
PUBCHEM.COMPOUND:10195666	NCBIGENE:3558	1
PUBCHEM.COMPOUND:10195666	NCBIGENE:1666	-1
PUBCHEM.COMPOUND:10195666	NCBIGENE:2058	-1
PUBCHEM.COMPOUND:10195666	NCBIGENE:3558	-1
PUBCHEM.COMPOUND:10197984	NCBIGENE:2353	1
PUBCHEM.COMPOUND:10197984	NCBIGENE:2668	1
PUBCHEM.COMPOUND:10197984	NCBIGENE:627	1
PUBCHEM.COMPOUND:10197984	NCBIGENE:7040	1
PUBCHEM.COMPOUND:10198228	NCBIGENE:9407	1
PUBCHEM.COMPOUND:10199993	NCBIGENE:7412	-1
PUBCHEM.COMPOUND:10201696	NCBIGENE:1513	-1
PUBCHEM.COMPOUND:10202471	NCBIGENE:1017	-1
PUBCHEM.COMPOUND:10202471	NCBIGENE:10188	-1
PUBCHEM.COMPOUND:10202471	NCBIGENE:120892	-1
PUBCHEM.COMPOUND:10202471	NCBIGENE:1436	-1
PUBCHEM.COMPOUND:10202471	NCBIGENE:2322	-1
PUBCHEM.COMPOUND:10202471	NCBIGENE:2324	-1
PUBCHEM.COMPOUND:10202471	NCBIGENE:29110	-1
PUBCHEM.COMPOUND:10202471	NCBIGENE:3480	-1
PUBCHEM.COMPOUND:10202471	NCBIGENE:3717	-1
PUBCHEM.COMPOUND:10202471	NCBIGENE:3718	-1
PUBCHEM.COMPOUND:10202471	NCBIGENE:4293	-1
PUBCHEM.COMPOUND:10202471	NCBIGENE:4294	-1
PUBCHEM.COMPOUND:10202471	NCBIGENE:4296	-1
PUBCHEM.COMPOUND:10202471	NCBIGENE:5979	-1
PUBCHEM.COMPOUND:10202471	NCBIGENE:6196	-1
PUBCHEM.COMPOUND:10202471	NCBIGENE:6197	-1
PUBCHEM.COMPOUND:10202471	NCBIGENE:6790	-1
PUBCHEM.COMPOUND:10202471	NCBIGENE:6795	-1
PUBCHEM.COMPOUND:10202471	NCBIGENE:81788	-1
PUBCHEM.COMPOUND:10202471	NCBIGENE:83942	-1
PUBCHEM.COMPOUND:10202471	NCBIGENE:9891	-1
PUBCHEM.COMPOUND:10205	NCBIGENE:6517	1
PUBCHEM.COMPOUND:10205	NCBIGENE:6647	1
PUBCHEM.COMPOUND:10205	NCBIGENE:7852	1
PUBCHEM.COMPOUND:10205	NCBIGENE:8431	1
PUBCHEM.COMPOUND:10205	NCBIGENE:1723	-1
PUBCHEM.COMPOUND:10205	NCBIGENE:7153	-1
PUBCHEM.COMPOUND:10205	NCBIGENE:7155	-1
PUBCHEM.COMPOUND:10205	NCBIGENE:7852	-1
PUBCHEM.COMPOUND:10206	NCBIGENE:5578	-1
PUBCHEM.COMPOUND:10206	NCBIGENE:5582	-1
PUBCHEM.COMPOUND:10207	NCBIGENE:3320	1
PUBCHEM.COMPOUND:10207	NCBIGENE:7157	1
PUBCHEM.COMPOUND:10208	NCBIGENE:114548	-1
PUBCHEM.COMPOUND:1021	NCBIGENE:210	-1
PUBCHEM.COMPOUND:10211	NCBIGENE:1576	1
PUBCHEM.COMPOUND:10219	NCBIGENE:2353	1
PUBCHEM.COMPOUND:10219	NCBIGENE:6626	1
PUBCHEM.COMPOUND:10219	NCBIGENE:7078	-1
PUBCHEM.COMPOUND:10219702	NCBIGENE:142	-1
PUBCHEM.COMPOUND:10220841	NCBIGENE:9407	-1
PUBCHEM.COMPOUND:102210	NCBIGENE:5241	1
PUBCHEM.COMPOUND:10221200	NCBIGENE:9407	1
PUBCHEM.COMPOUND:10226546	NCBIGENE:9194	-1
PUBCHEM.COMPOUND:10228	NCBIGENE:4780	1
PUBCHEM.COMPOUND:10228	NCBIGENE:632	1
PUBCHEM.COMPOUND:10228	NCBIGENE:7471	1
PUBCHEM.COMPOUND:10228	NCBIGENE:7473	1
PUBCHEM.COMPOUND:10228	NCBIGENE:89780	1
PUBCHEM.COMPOUND:10228	NCBIGENE:2147	-1
PUBCHEM.COMPOUND:10228	NCBIGENE:3082	-1
PUBCHEM.COMPOUND:10228	NCBIGENE:4318	-1
PUBCHEM.COMPOUND:10228	NCBIGENE:4322	-1
PUBCHEM.COMPOUND:10228	NCBIGENE:6356	-1
PUBCHEM.COMPOUND:10228	NCBIGENE:836	-1
PUBCHEM.COMPOUND:10229	NCBIGENE:54795	-1
PUBCHEM.COMPOUND:1023	NCBIGENE:107	1
PUBCHEM.COMPOUND:1023	NCBIGENE:108	1
PUBCHEM.COMPOUND:1023	NCBIGENE:1080	1
PUBCHEM.COMPOUND:1023	NCBIGENE:109	1
PUBCHEM.COMPOUND:1023	NCBIGENE:111	1
PUBCHEM.COMPOUND:1023	NCBIGENE:112	1
PUBCHEM.COMPOUND:1023	NCBIGENE:114	1
PUBCHEM.COMPOUND:1023	NCBIGENE:115	1
PUBCHEM.COMPOUND:1023	NCBIGENE:116285	1
PUBCHEM.COMPOUND:1023	NCBIGENE:196883	1
PUBCHEM.COMPOUND:1023	NCBIGENE:2778	1
PUBCHEM.COMPOUND:1023	NCBIGENE:5167	1
PUBCHEM.COMPOUND:1023	NCBIGENE:56172	1
PUBCHEM.COMPOUND:1023	NCBIGENE:65266	1
PUBCHEM.COMPOUND:1023	NCBIGENE:65267	1
PUBCHEM.COMPOUND:1023	NCBIGENE:65268	1
PUBCHEM.COMPOUND:1023	NCBIGENE:6696	1
PUBCHEM.COMPOUND:1023	NCBIGENE:100996758	1
PUBCHEM.COMPOUND:1023	NCBIGENE:105379861	1
PUBCHEM.COMPOUND:1023	NCBIGENE:2979	1
PUBCHEM.COMPOUND:1023	NCBIGENE:5540	1
PUBCHEM.COMPOUND:1023	NCBIGENE:10423	-1
PUBCHEM.COMPOUND:1023	NCBIGENE:2979	-1
PUBCHEM.COMPOUND:1023	NCBIGENE:107	-1
PUBCHEM.COMPOUND:1023	NCBIGENE:108	-1
PUBCHEM.COMPOUND:1023	NCBIGENE:109	-1
PUBCHEM.COMPOUND:1023	NCBIGENE:111	-1
PUBCHEM.COMPOUND:1023	NCBIGENE:112	-1
PUBCHEM.COMPOUND:1023	NCBIGENE:114	-1
PUBCHEM.COMPOUND:1023	NCBIGENE:115	-1
PUBCHEM.COMPOUND:1023	NCBIGENE:196883	-1
PUBCHEM.COMPOUND:1023	NCBIGENE:2770	-1
PUBCHEM.COMPOUND:1023	NCBIGENE:2771	-1
PUBCHEM.COMPOUND:1023	NCBIGENE:2773	-1
PUBCHEM.COMPOUND:1023	NCBIGENE:283	-1
PUBCHEM.COMPOUND:1023	NCBIGENE:3251	-1
PUBCHEM.COMPOUND:1023	NCBIGENE:346562	-1
PUBCHEM.COMPOUND:1023	NCBIGENE:5167	-1
PUBCHEM.COMPOUND:1023	NCBIGENE:5226	-1
PUBCHEM.COMPOUND:1023	NCBIGENE:56172	-1
PUBCHEM.COMPOUND:1023	NCBIGENE:8833	-1
PUBCHEM.COMPOUND:10230	NCBIGENE:7054	-1
PUBCHEM.COMPOUND:10237	NCBIGENE:4929	1
PUBCHEM.COMPOUND:10237	NCBIGENE:6750	1
PUBCHEM.COMPOUND:10237	NCBIGENE:57468	-1
PUBCHEM.COMPOUND:10237010	NCBIGENE:4654	1
PUBCHEM.COMPOUND:1024	NCBIGENE:5770	-1
PUBCHEM.COMPOUND:10240	NCBIGENE:627	1
PUBCHEM.COMPOUND:10243	NCBIGENE:1723	-1
PUBCHEM.COMPOUND:10251	NCBIGENE:57413	-1
PUBCHEM.COMPOUND:10251	NCBIGENE:595	-1
PUBCHEM.COMPOUND:10252640	NCBIGENE:5142	-1
PUBCHEM.COMPOUND:10253763	NCBIGENE:351	-1
PUBCHEM.COMPOUND:10255	NCBIGENE:104909134	1
PUBCHEM.COMPOUND:10255	NCBIGENE:1394	1
PUBCHEM.COMPOUND:10255	NCBIGENE:1510	1
PUBCHEM.COMPOUND:10255	NCBIGENE:2898	1
PUBCHEM.COMPOUND:10255	NCBIGENE:3553	1
PUBCHEM.COMPOUND:10255	NCBIGENE:3814	1
PUBCHEM.COMPOUND:10255	NCBIGENE:3976	1
PUBCHEM.COMPOUND:10255	NCBIGENE:405	1
PUBCHEM.COMPOUND:10255	NCBIGENE:627	1
PUBCHEM.COMPOUND:10255	NCBIGENE:857	1
PUBCHEM.COMPOUND:10255	NCBIGENE:9407	1
PUBCHEM.COMPOUND:10255	NCBIGENE:1103	-1
PUBCHEM.COMPOUND:10255	NCBIGENE:1267	-1
PUBCHEM.COMPOUND:10255	NCBIGENE:6506	-1
PUBCHEM.COMPOUND:10255	NCBIGENE:6855	-1
PUBCHEM.COMPOUND:10255	NCBIGENE:7042	-1
PUBCHEM.COMPOUND:10257882	NCBIGENE:186	-1
PUBCHEM.COMPOUND:10258	NCBIGENE:10296	1
PUBCHEM.COMPOUND:10258	NCBIGENE:1543	1
PUBCHEM.COMPOUND:10258	NCBIGENE:183	1
PUBCHEM.COMPOUND:10258	NCBIGENE:2625	1
PUBCHEM.COMPOUND:10258	NCBIGENE:3383	1
PUBCHEM.COMPOUND:10258	NCBIGENE:50507	1
PUBCHEM.COMPOUND:10258	NCBIGENE:6347	1
PUBCHEM.COMPOUND:10258	NCBIGENE:252995	-1
PUBCHEM.COMPOUND:10258	NCBIGENE:353189	-1
PUBCHEM.COMPOUND:10258	NCBIGENE:4780	-1
PUBCHEM.COMPOUND:10258	NCBIGENE:9365	-1
PUBCHEM.COMPOUND:102614	NCBIGENE:2100	1
PUBCHEM.COMPOUND:102614	NCBIGENE:1325	-1
PUBCHEM.COMPOUND:102614	NCBIGENE:551	-1
PUBCHEM.COMPOUND:1027	NCBIGENE:80036	1
PUBCHEM.COMPOUND:1027	NCBIGENE:8856	1
PUBCHEM.COMPOUND:1027	NCBIGENE:4886	-1
PUBCHEM.COMPOUND:10274777	NCBIGENE:5468	1
PUBCHEM.COMPOUND:10275789	NCBIGENE:3576	-1
PUBCHEM.COMPOUND:10275789	NCBIGENE:3586	-1
PUBCHEM.COMPOUND:10280735	NCBIGENE:2159	-1
PUBCHEM.COMPOUND:10281	NCBIGENE:1111	1
PUBCHEM.COMPOUND:10281	NCBIGENE:3162	1
PUBCHEM.COMPOUND:10281	NCBIGENE:5728	1
PUBCHEM.COMPOUND:10281	NCBIGENE:836	1
PUBCHEM.COMPOUND:10281	NCBIGENE:2923	-1
PUBCHEM.COMPOUND:10281	NCBIGENE:4843	-1
PUBCHEM.COMPOUND:10281	NCBIGENE:5743	-1
PUBCHEM.COMPOUND:10281	NCBIGENE:6303	-1
PUBCHEM.COMPOUND:10282255	NCBIGENE:1000	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:1392	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:1636	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:1906	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:1950	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:1958	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:231	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:2353	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:2354	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:2355	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:27178	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:29110	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:3558	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:3567	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:3732	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:4318	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:4322	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:4846	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:5155	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:5241	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:5329	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:5337	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:5578	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:5582	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:5617	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:5742	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:5743	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:60	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:6196	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:6548	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:6774	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:6996	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:7040	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:7076	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:728378	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:732	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:7474	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:8743	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:8754	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:960	1
PUBCHEM.COMPOUND:10282255	NCBIGENE:1583	-1
PUBCHEM.COMPOUND:10282255	NCBIGENE:3553	-1
PUBCHEM.COMPOUND:10282255	NCBIGENE:551	-1
PUBCHEM.COMPOUND:10282255	NCBIGENE:5578	-1
PUBCHEM.COMPOUND:10282255	NCBIGENE:5582	-1
PUBCHEM.COMPOUND:10282255	NCBIGENE:8525	-1
PUBCHEM.COMPOUND:10291510	NCBIGENE:356	-1
PUBCHEM.COMPOUND:10291510	NCBIGENE:3745	-1
PUBCHEM.COMPOUND:1029232	NCBIGENE:1956	-1
PUBCHEM.COMPOUND:1029232	NCBIGENE:5028	-1
PUBCHEM.COMPOUND:10294	NCBIGENE:5972	1
PUBCHEM.COMPOUND:10294	NCBIGENE:196527	-1
PUBCHEM.COMPOUND:10296883	NCBIGENE:50943	1
PUBCHEM.COMPOUND:10296883	NCBIGENE:5578	-1
PUBCHEM.COMPOUND:10296883	NCBIGENE:5579	-1
PUBCHEM.COMPOUND:10296883	NCBIGENE:5588	-1
PUBCHEM.COMPOUND:10297	NCBIGENE:152	-1
PUBCHEM.COMPOUND:10297043	NCBIGENE:1950	-1
PUBCHEM.COMPOUND:10297043	NCBIGENE:1956	-1
PUBCHEM.COMPOUND:10297043	NCBIGENE:3480	-1
PUBCHEM.COMPOUND:10297043	NCBIGENE:898	-1
