source	target	edge_type	source_node_type	target_node_type
pubchem.compound:5833	GO:0007165	induces	Compound	Biological Process
pubchem.compound:4477	GO:0030154	induces	Compound	Biological Process
pubchem.compound:5743	GO:0051301	induces	Compound	Biological Process
pubchem.compound:4477	GO:0007267	induces	Compound	Biological Process
pubchem.compound:5280453	GO:0000902	induces	Compound	Biological Process
pubchem.compound:4474	GO:0007165	induces	Compound	Biological Process
pubchem.compound:11625818	GO:0007165	induces	Compound	Biological Process
pubchem.compound:10635	GO:0007165	induces	Compound	Biological Process
pubchem.compound:4477	GO:0032880	induces	Compound	Biological Process
pubchem.compound:5284616	GO:0050790	induces	Compound	Biological Process
pubchem.compound:4583	GO:0007155	induces	Compound	Biological Process
pubchem.compound:5284616	GO:0007010	induces	Compound	Biological Process
pubchem.compound:3715	GO:0055085	induces	Compound	Biological Process
pubchem.compound:4114	GO:0007165	induces	Compound	Biological Process
pubchem.compound:10635	GO:0007267	induces	Compound	Biological Process
pubchem.compound:16362	GO:0007165	induces	Compound	Biological Process
pubchem.compound:1548943	GO:0055085	induces	Compound	Biological Process
pubchem.compound:3117	GO:0030198	induces	Compound	Biological Process
pubchem.compound:6918638	GO:0006914	induces	Compound	Biological Process
pubchem.compound:31703	GO:0002376	induces	Compound	Biological Process
pubchem.compound:5833	GO:0051301	induces	Compound	Biological Process
pubchem.compound:5280453	GO:0006629	induces	Compound	Biological Process
pubchem.compound:456201	GO:0007165	induces	Compound	Biological Process
pubchem.compound:5833	GO:0030154	induces	Compound	Biological Process
pubchem.compound:444795	GO:0030198	induces	Compound	Biological Process
pubchem.compound:5833	GO:0009790	induces	Compound	Biological Process
pubchem.compound:5280723	GO:0007267	induces	Compound	Biological Process
pubchem.compound:3658	GO:0007165	induces	Compound	Biological Process
pubchem.compound:5344	GO:0007165	induces	Compound	Biological Process
pubchem.compound:3715	GO:0030154	induces	Compound	Biological Process
pubchem.compound:107807	GO:0043065	induces	Compound	Biological Process
pubchem.compound:16362	GO:0030154	induces	Compound	Biological Process
pubchem.compound:10607	GO:0007165	induces	Compound	Biological Process
pubchem.compound:54687	GO:0043065	induces	Compound	Biological Process
pubchem.compound:4497	GO:0007165	induces	Compound	Biological Process
pubchem.compound:10635	GO:0051301	induces	Compound	Biological Process
pubchem.compound:5833	GO:0043065	induces	Compound	Biological Process
pubchem.compound:10635	GO:0030154	induces	Compound	Biological Process
pubchem.compound:11625818	GO:0043065	induces	Compound	Biological Process
pubchem.compound:4211	GO:0007165	induces	Compound	Biological Process
pubchem.compound:31703	GO:0030154	induces	Compound	Biological Process
pubchem.compound:60854	GO:0030154	induces	Compound	Biological Process
pubchem.compound:4011	GO:0006914	induces	Compound	Biological Process
pubchem.compound:2375	GO:0000902	induces	Compound	Biological Process
pubchem.compound:4114	GO:0006805	induces	Compound	Biological Process
pubchem.compound:5717	GO:0007585	induces	Compound	Biological Process
pubchem.compound:4775	GO:0007267	induces	Compound	Biological Process
pubchem.compound:448537	GO:0030154	induces	Compound	Biological Process
pubchem.compound:5280360	GO:0007267	induces	Compound	Biological Process
pubchem.compound:2955	GO:0006805	induces	Compound	Biological Process
pubchem.compound:5284616	GO:0030154	induces	Compound	Biological Process
pubchem.compound:16362	GO:0006914	induces	Compound	Biological Process
pubchem.compound:3671	GO:0007165	induces	Compound	Biological Process
pubchem.compound:5360696	GO:0007165	induces	Compound	Biological Process
pubchem.compound:4485	GO:0030154	induces	Compound	Biological Process
pubchem.compound:3278	GO:0006805	induces	Compound	Biological Process
pubchem.compound:3715	GO:0043065	induces	Compound	Biological Process
pubchem.compound:5405	GO:0007165	induces	Compound	Biological Process
pubchem.compound:5311181	GO:0007165	induces	Compound	Biological Process
pubchem.compound:5405	GO:0050877	induces	Compound	Biological Process
pubchem.compound:2554	GO:0008283	induces	Compound	Biological Process
pubchem.compound:4748	GO:0007267	induces	Compound	Biological Process
pubchem.compound:444795	GO:0002376	induces	Compound	Biological Process
pubchem.compound:60854	GO:0006914	induces	Compound	Biological Process
pubchem.compound:5284616	GO:0032880	induces	Compound	Biological Process
pubchem.compound:445354	GO:0030154	induces	Compound	Biological Process
pubchem.compound:3117	GO:0043065	induces	Compound	Biological Process
pubchem.compound:31703	GO:0043065	induces	Compound	Biological Process
pubchem.compound:5983	GO:0007165	induces	Compound	Biological Process
pubchem.compound:3715	GO:0000902	induces	Compound	Biological Process
pubchem.compound:445354	GO:0008283	induces	Compound	Biological Process
pubchem.compound:1548887	GO:0030154	induces	Compound	Biological Process
pubchem.compound:34359	GO:0006520	induces	Compound	Biological Process
pubchem.compound:5280453	GO:0007165	induces	Compound	Biological Process
pubchem.compound:8226	GO:0007165	induces	Compound	Biological Process
pubchem.compound:5284616	GO:0007165	induces	Compound	Biological Process
pubchem.compound:3715	GO:0008283	induces	Compound	Biological Process
pubchem.compound:444795	GO:0007165	induces	Compound	Biological Process
pubchem.compound:5472	GO:0070989	induces	Compound	Biological Process
pubchem.compound:3117	GO:0007010	induces	Compound	Biological Process
pubchem.compound:5284616	GO:0008283	induces	Compound	Biological Process
pubchem.compound:10607	GO:0043065	induces	Compound	Biological Process
pubchem.compound:11625818	GO:0030154	induces	Compound	Biological Process
pubchem.compound:55245	GO:0007267	induces	Compound	Biological Process
pubchem.compound:444795	GO:0007155	induces	Compound	Biological Process
pubchem.compound:54687	GO:0007165	induces	Compound	Biological Process
pubchem.compound:444795	GO:0030154	induces	Compound	Biological Process
pubchem.compound:4828	GO:0007165	induces	Compound	Biological Process
pubchem.compound:448537	GO:0007165	induces	Compound	Biological Process
pubchem.compound:3033	GO:0007165	induces	Compound	Biological Process
pubchem.compound:3308	GO:0007165	induces	Compound	Biological Process
pubchem.compound:1548943	GO:0043065	induces	Compound	Biological Process
pubchem.compound:5564	GO:0006629	induces	Compound	Biological Process
pubchem.compound:5280360	GO:0008283	induces	Compound	Biological Process
pubchem.compound:6167	GO:0030154	induces	Compound	Biological Process
pubchem.compound:6167	GO:0061024	induces	Compound	Biological Process
pubchem.compound:1548887	GO:0007165	induces	Compound	Biological Process
pubchem.compound:6167	GO:0007165	induces	Compound	Biological Process
pubchem.compound:444795	GO:0007267	induces	Compound	Biological Process
pubchem.compound:5280360	GO:0030154	induces	Compound	Biological Process
pubchem.compound:5311181	GO:0007267	induces	Compound	Biological Process
pubchem.compound:448537	GO:0006629	induces	Compound	Biological Process
pubchem.compound:16362	GO:0007267	induces	Compound	Biological Process
pubchem.compound:3715	GO:0010951	induces	Compound	Biological Process
pubchem.compound:448537	GO:0048856	induces	Compound	Biological Process
pubchem.compound:4748	GO:0006914	induces	Compound	Biological Process
