source	target	edge_type
ncbigene:84643	ncbigene:6430	interacts
ncbigene:701	ncbigene:115290	interacts
ncbigene:51397	ncbigene:9015	interacts
ncbigene:51343	ncbigene:28227	interacts
ncbigene:3716	ncbigene:4928	interacts
ncbigene:4772	ncbigene:472	interacts
ncbigene:861	ncbigene:103	interacts
ncbigene:5501	ncbigene:9656	interacts
ncbigene:100132074	ncbigene:9470	interacts
ncbigene:5437	ncbigene:53358	interacts
ncbigene:135941	ncbigene:406903	interacts
ncbigene:5001	ncbigene:1050	interacts
ncbigene:51806	ncbigene:8826	interacts
ncbigene:5336	ncbigene:114	interacts
ncbigene:201456	ncbigene:64764	interacts
ncbigene:81029	ncbigene:2788	interacts
ncbigene:1387	ncbigene:341799	interacts
ncbigene:1299	ncbigene:63893	interacts
pubchem.compound:33741	ncbigene:673	interacts
ncbigene:10841	ncbigene:79003	interacts
ncbigene:79172	ncbigene:2776	interacts
ncbigene:285093	ncbigene:84085	interacts
ncbigene:3177	ncbigene:5518	interacts
ncbigene:3918	ncbigene:119687	interacts
ncbigene:390077	ncbigene:51164	interacts
pubchem.compound:5280453	ncbigene:9918	upregulates
ncbigene:87	ncbigene:26043	interacts
ncbigene:9241	ncbigene:284076	interacts
ncbigene:9241	ncbigene:442186	interacts
ncbigene:351	ncbigene:3251	interacts
ncbigene:1778	ncbigene:5290	interacts
ncbigene:51308	ncbigene:22794	interacts
ncbigene:22943	ncbigene:2937	interacts
pubchem.compound:3488	ncbigene:30009	interacts
ncbigene:341418	ncbigene:2782	interacts
ncbigene:5501	ncbigene:378708	interacts
ncbigene:1778	ncbigene:6502	interacts
ncbigene:5588	ncbigene:26267	interacts
ncbigene:2255	ncbigene:5077	interacts
ncbigene:7478	ncbigene:5515	interacts
ncbigene:256892	ncbigene:81030	interacts
ncbigene:5045	ncbigene:50615	interacts
ncbigene:57122	ncbigene:5516	interacts
ncbigene:648	ncbigene:26270	interacts
ncbigene:285093	ncbigene:81608	interacts
ncbigene:54461	ncbigene:100137049	interacts
ncbigene:5539	ncbigene:127074	interacts
ncbigene:5526	ncbigene:5663	interacts
ncbigene:6300	ncbigene:26154	interacts
ncbigene:3953	ncbigene:7042	interacts
ncbigene:6773	ncbigene:5516	interacts
ncbigene:29099	ncbigene:3446	interacts
ncbigene:4627	ncbigene:8672	interacts
ncbigene:115548	ncbigene:1062	interacts
ncbigene:10724	ncbigene:8061	interacts
ncbigene:3630	ncbigene:150726	interacts
pubchem.compound:3385	ncbigene:775	interacts
ncbigene:2912	ncbigene:23421	interacts
ncbigene:10200	ncbigene:27297	interacts
ncbigene:7157	ncbigene:6925	interacts
ncbigene:8877	ncbigene:11157	interacts
ncbigene:699	ncbigene:401993	interacts
ncbigene:4171	ncbigene:2153	interacts
ncbigene:25909	ncbigene:3845	interacts
ncbigene:3661	ncbigene:5465	interacts
ncbigene:6773	ncbigene:5426	interacts
ncbigene:10156	ncbigene:51213	interacts
ncbigene:83597	ncbigene:4602	interacts
ncbigene:84961	ncbigene:57580	interacts
pubchem.compound:3559	ncbigene:1677	interacts
ncbigene:627	ncbigene:329	interacts
ncbigene:54014	ncbigene:4851	interacts
ncbigene:129401	ncbigene:4772	interacts
pubchem.compound:448537	ncbigene:5518	interacts
ncbigene:6932	ncbigene:5795	interacts
ncbigene:5970	ncbigene:9088	downregulates
ncbigene:9442	ncbigene:390275	interacts
ncbigene:441308	ncbigene:151648	interacts
ncbigene:64344	ncbigene:1441	interacts
ncbigene:10969	ncbigene:841	interacts
ncbigene:115	ncbigene:3454	interacts
ncbigene:9241	ncbigene:406991	interacts
ncbigene:23122	ncbigene:7517	interacts
ncbigene:5433	ncbigene:1854	interacts
ncbigene:390442	ncbigene:5295	interacts
ncbigene:10200	ncbigene:149233	interacts
ncbigene:2908	ncbigene:59285	interacts
ncbigene:836	ncbigene:150726	interacts
ncbigene:199746	ncbigene:9612	interacts
pubchem.compound:5505	ncbigene:4208	interacts
ncbigene:3440	ncbigene:2491	interacts
ncbigene:2147	ncbigene:5566	interacts
ncbigene:23014	ncbigene:5563	interacts
ncbigene:3716	ncbigene:4609	interacts
ncbigene:7905	ncbigene:4790	interacts
ncbigene:390181	ncbigene:8021	interacts
ncbigene:4609	ncbigene:3084	interacts
ncbigene:26267	ncbigene:857	interacts
ncbigene:219479	ncbigene:390148	interacts
ncbigene:351	ncbigene:390181	upregulates
ncbigene:7124	ncbigene:157	interacts
ncbigene:2249	ncbigene:4637	interacts
ncbigene:8390	ncbigene:51764	interacts
ncbigene:22806	ncbigene:6208	interacts
ncbigene:5515	ncbigene:26234	interacts
ncbigene:55970	ncbigene:1062	interacts
ncbigene:672	ncbigene:5903	interacts
ncbigene:1260	ncbigene:6142	interacts
ncbigene:2745	ncbigene:4208	interacts
ncbigene:26235	ncbigene:406996	interacts
pubchem.compound:702	ncbigene:5440	interacts
ncbigene:1443	ncbigene:765	interacts
pubchem.compound:36314	ncbigene:23401	interacts
ncbigene:10517	ncbigene:919	interacts
ncbigene:23142	ncbigene:4008	interacts
ncbigene:10369	ncbigene:586	interacts
ncbigene:115	ncbigene:2782	interacts
ncbigene:221035	ncbigene:71	interacts
ncbigene:1387	ncbigene:8649	interacts
ncbigene:3447	ncbigene:103	interacts
ncbigene:3643	ncbigene:7046	interacts
ncbigene:2099	ncbigene:6929	interacts
pubchem.compound:4499	ncbigene:7855	interacts
ncbigene:51176	ncbigene:9372	interacts
ncbigene:2253	ncbigene:4609	interacts
ncbigene:29781	ncbigene:8800	interacts
ncbigene:5527	ncbigene:9184	interacts
ncbigene:23478	ncbigene:4609	interacts
ncbigene:699	ncbigene:2353	downregulates
ncbigene:6193	ncbigene:401994	interacts
ncbigene:467	ncbigene:51122	interacts
ncbigene:984	ncbigene:81565	interacts
ncbigene:7324	ncbigene:9899	interacts
ncbigene:4325	ncbigene:10403	interacts
ncbigene:10000	ncbigene:4609	interacts
ncbigene:8766	ncbigene:5519	interacts
ncbigene:8831	ncbigene:10483	interacts
ncbigene:5587	ncbigene:4210	interacts
ncbigene:390155	ncbigene:2829	interacts
ncbigene:4088	ncbigene:3625	interacts
ncbigene:3444	ncbigene:2790	interacts
ncbigene:1052	ncbigene:255725	interacts
ncbigene:5062	ncbigene:57818	interacts
ncbigene:5290	ncbigene:2051	interacts
pubchem.compound:448537	ncbigene:81469	interacts
ncbigene:5021	ncbigene:3716	interacts
ncbigene:3725	ncbigene:3568	interacts
pubchem.compound:3961	ncbigene:53832	interacts
ncbigene:10724	ncbigene:7477	interacts
ncbigene:255743	ncbigene:6249	interacts
ncbigene:55706	ncbigene:127062	interacts
ncbigene:1950	ncbigene:3575	interacts
ncbigene:10209	ncbigene:10298	interacts
ncbigene:51434	ncbigene:27121	interacts
ncbigene:79346	ncbigene:378708	interacts
ncbigene:56656	ncbigene:816	interacts
ncbigene:3312	ncbigene:55763	interacts
ncbigene:8085	ncbigene:146	interacts
ncbigene:9862	ncbigene:6168	interacts
ncbigene:6347	ncbigene:79023	interacts
ncbigene:5566	ncbigene:1232	interacts
ncbigene:23118	ncbigene:29841	interacts
ncbigene:5903	ncbigene:55110	interacts
ncbigene:5519	ncbigene:5350	interacts
ncbigene:10724	ncbigene:150684	interacts
ncbigene:2932	ncbigene:2074	interacts
ncbigene:6256	ncbigene:5771	interacts
ncbigene:23142	ncbigene:7514	interacts
ncbigene:1440	ncbigene:5829	interacts
ncbigene:9765	ncbigene:5921	interacts
ncbigene:6773	ncbigene:440275	interacts
ncbigene:9883	ncbigene:2261	interacts
ncbigene:3458	ncbigene:166336	interacts
ncbigene:4695	ncbigene:157	interacts
ncbigene:728642	ncbigene:8655	interacts
ncbigene:3594	ncbigene:6633	interacts
ncbigene:11009	ncbigene:861	downregulates
ncbigene:344892	ncbigene:150684	interacts
ncbigene:5594	ncbigene:1398	interacts
ncbigene:5600	ncbigene:51208	interacts
ncbigene:2534	ncbigene:8655	interacts
ncbigene:8807	ncbigene:5725	interacts
ncbigene:3908	ncbigene:2782	interacts
ncbigene:27005	ncbigene:5566	interacts
ncbigene:4091	ncbigene:1616	interacts
ncbigene:9241	ncbigene:3304	interacts
ncbigene:1613	ncbigene:6776	interacts
ncbigene:8178	ncbigene:27042	interacts
ncbigene:117579	ncbigene:2829	interacts
ncbigene:3725	ncbigene:5600	interacts
ncbigene:7270	ncbigene:4830	interacts
ncbigene:401992	ncbigene:1271	upregulates
ncbigene:26232	ncbigene:9212	interacts
ncbigene:5595	ncbigene:408	interacts
ncbigene:115290	ncbigene:4004	interacts
ncbigene:114	ncbigene:5901	interacts
ncbigene:3630	ncbigene:5698	downregulates
ncbigene:2056	ncbigene:10369	interacts
ncbigene:65083	ncbigene:57113	interacts
ncbigene:699	ncbigene:51573	interacts
ncbigene:2870	ncbigene:3560	interacts
ncbigene:7905	ncbigene:5156	interacts
ncbigene:3630	ncbigene:2891	interacts
ncbigene:2491	ncbigene:3481	interacts
ncbigene:284433	ncbigene:476	interacts
ncbigene:7044	ncbigene:1778	interacts
ncbigene:2908	ncbigene:2264	interacts
ncbigene:8334	ncbigene:2491	interacts
ncbigene:2776	ncbigene:11130	interacts
ncbigene:5054	ncbigene:11065	interacts
ncbigene:27091	ncbigene:1781	interacts
pubchem.compound:4091	ncbigene:6119	interacts
ncbigene:2147	ncbigene:5525	interacts
ncbigene:6196	ncbigene:283189	interacts
ncbigene:351	ncbigene:10528	interacts
ncbigene:65055	ncbigene:4893	interacts
ncbigene:9241	ncbigene:3112	interacts
ncbigene:3592	ncbigene:8622	interacts
ncbigene:154810	ncbigene:157	upregulates
ncbigene:3447	ncbigene:2230	interacts
ncbigene:8473	ncbigene:5781	interacts
ncbigene:121130	ncbigene:2788	interacts
ncbigene:80346	ncbigene:861	interacts
ncbigene:55872	ncbigene:440738	interacts
ncbigene:7040	ncbigene:2787	interacts
ncbigene:11130	ncbigene:207	interacts
ncbigene:9793	ncbigene:5295	interacts
ncbigene:659	ncbigene:23678	interacts
ncbigene:29116	ncbigene:5290	interacts
ncbigene:4149	ncbigene:3265	interacts
ncbigene:8334	ncbigene:51764	interacts
ncbigene:83597	ncbigene:84433	interacts
ncbigene:2870	ncbigene:3123	interacts
pubchem.compound:1548887	ncbigene:3566	interacts
ncbigene:55706	ncbigene:10199	interacts
ncbigene:124538	ncbigene:369	interacts
ncbigene:2963	ncbigene:79084	downregulates
ncbigene:9757	ncbigene:56924	interacts
ncbigene:23142	ncbigene:3572	interacts
ncbigene:5524	ncbigene:23122	interacts
ncbigene:51585	ncbigene:8503	interacts
ncbigene:4085	ncbigene:3126	interacts
ncbigene:221035	ncbigene:26999	interacts
ncbigene:7324	ncbigene:1147	interacts
ncbigene:3725	ncbigene:8945	interacts
ncbigene:91807	ncbigene:4342	interacts
ncbigene:131873	ncbigene:3821	interacts
ncbigene:51585	ncbigene:196883	interacts
ncbigene:3630	ncbigene:942	interacts
ncbigene:80346	ncbigene:84557	interacts
ncbigene:898	ncbigene:2774	interacts
ncbigene:4209	ncbigene:408	interacts
ncbigene:80204	ncbigene:1508	interacts
ncbigene:2056	ncbigene:27006	interacts
ncbigene:468	ncbigene:57580	interacts
ncbigene:6502	ncbigene:8480	interacts
ncbigene:7905	ncbigene:10528	interacts
ncbigene:7175	ncbigene:6194	interacts
ncbigene:2890	ncbigene:1778	interacts
ncbigene:285093	ncbigene:2935	interacts
ncbigene:8877	ncbigene:6654	interacts
ncbigene:1385	ncbigene:5781	interacts
ncbigene:56915	ncbigene:108	interacts
ncbigene:10724	ncbigene:4057	interacts
ncbigene:554	ncbigene:401994	interacts
ncbigene:200186	ncbigene:1062	interacts
ncbigene:259289	ncbigene:79050	interacts
ncbigene:7423	ncbigene:3454	interacts
ncbigene:27199	ncbigene:9184	interacts
ncbigene:6720	ncbigene:1062	interacts
ncbigene:6777	ncbigene:149233	interacts
ncbigene:6846	ncbigene:26538	downregulates
ncbigene:8945	ncbigene:5516	interacts
ncbigene:26234	ncbigene:54620	interacts
ncbigene:1457	ncbigene:776	interacts
ncbigene:10499	ncbigene:8823	interacts
ncbigene:6773	ncbigene:8600	interacts
ncbigene:6203	ncbigene:286075	interacts
pubchem.compound:5284616	ncbigene:55813	interacts
pubchem.compound:53232	ncbigene:6615	interacts
ncbigene:6237	ncbigene:22905	interacts
ncbigene:284	ncbigene:6697	interacts
ncbigene:8021	ncbigene:79544	interacts
ncbigene:9241	ncbigene:401663	interacts
ncbigene:112	ncbigene:55215	interacts
ncbigene:9475	ncbigene:3845	interacts
ncbigene:23517	ncbigene:1050	interacts
ncbigene:5603	ncbigene:116379	interacts
ncbigene:5734	ncbigene:1783	interacts
ncbigene:4193	ncbigene:1513	interacts
ncbigene:1781	ncbigene:2167	interacts
ncbigene:25926	ncbigene:1499	interacts
ncbigene:9241	ncbigene:4843	interacts
ncbigene:5290	ncbigene:57504	interacts
ncbigene:2246	ncbigene:463	interacts
ncbigene:79718	ncbigene:55055	interacts
ncbigene:8660	ncbigene:2885	interacts
ncbigene:5515	ncbigene:64946	interacts
ncbigene:7175	ncbigene:1063	interacts
ncbigene:919	ncbigene:22984	interacts
ncbigene:5290	ncbigene:5934	interacts
ncbigene:5595	ncbigene:30837	interacts
ncbigene:3918	ncbigene:6385	interacts
ncbigene:5465	ncbigene:53832	interacts
ncbigene:7297	ncbigene:1871	interacts
ncbigene:83737	ncbigene:26230	interacts
ncbigene:23112	ncbigene:54820	interacts
ncbigene:2056	ncbigene:10663	interacts
ncbigene:132112	ncbigene:11337	interacts
ncbigene:54821	ncbigene:81797	interacts
ncbigene:51129	ncbigene:1441	interacts
ncbigene:6357	ncbigene:653361	interacts
ncbigene:8086	ncbigene:2950	interacts
ncbigene:351	ncbigene:3845	interacts
ncbigene:23142	ncbigene:390431	interacts
ncbigene:818	ncbigene:4738	interacts
ncbigene:2950	ncbigene:2146	interacts
ncbigene:5971	ncbigene:8844	interacts
ncbigene:6773	ncbigene:343563	interacts
ncbigene:3827	ncbigene:5568	interacts
ncbigene:5575	ncbigene:26224	interacts
ncbigene:22919	ncbigene:2788	interacts
ncbigene:2551	ncbigene:147111	interacts
ncbigene:5020	ncbigene:1019	interacts
ncbigene:27086	ncbigene:26007	interacts
ncbigene:55166	ncbigene:3559	interacts
ncbigene:256892	ncbigene:51764	interacts
ncbigene:108	ncbigene:25909	interacts
ncbigene:55366	ncbigene:11004	interacts
ncbigene:64170	ncbigene:9466	interacts
ncbigene:25	ncbigene:408	interacts
ncbigene:899	ncbigene:2339	interacts
ncbigene:23389	ncbigene:2167	interacts
ncbigene:9547	ncbigene:1128	interacts
ncbigene:2255	ncbigene:5515	interacts
ncbigene:54821	ncbigene:151648	interacts
ncbigene:10000	ncbigene:26689	interacts
ncbigene:5158	ncbigene:5600	interacts
ncbigene:79172	ncbigene:4991	interacts
ncbigene:55294	ncbigene:348235	downregulates
ncbigene:2149	ncbigene:9013	interacts
ncbigene:9241	ncbigene:257194	interacts
ncbigene:2770	ncbigene:1781	interacts
ncbigene:89780	ncbigene:1386	interacts
ncbigene:5881	ncbigene:1978	interacts
ncbigene:378708	ncbigene:3565	interacts
ncbigene:2045	ncbigene:5732	interacts
ncbigene:9631	ncbigene:5567	interacts
ncbigene:54757	ncbigene:390649	interacts
ncbigene:152	ncbigene:2826	interacts
ncbigene:5931	ncbigene:5515	interacts
ncbigene:810	ncbigene:2960	interacts
ncbigene:8974	ncbigene:5526	interacts
ncbigene:6827	ncbigene:2768	interacts
ncbigene:22894	ncbigene:1233	interacts
ncbigene:80346	ncbigene:5594	interacts
ncbigene:4283	ncbigene:5888	interacts
ncbigene:54820	ncbigene:2774	interacts
ncbigene:56477	ncbigene:8189	interacts
ncbigene:9241	ncbigene:25924	interacts
ncbigene:2488	ncbigene:219954	interacts
ncbigene:477	ncbigene:3358	interacts
ncbigene:26190	ncbigene:5566	interacts
ncbigene:917	ncbigene:54951	interacts
ncbigene:51308	ncbigene:9475	interacts
ncbigene:2906	ncbigene:2254	interacts
ncbigene:3198	ncbigene:733	interacts
ncbigene:3205	ncbigene:5829	interacts
ncbigene:1852	ncbigene:732	interacts
ncbigene:390077	ncbigene:2317	interacts
ncbigene:1045	ncbigene:8239	interacts
ncbigene:23332	ncbigene:1436	interacts
ncbigene:148	ncbigene:25936	interacts
ncbigene:3553	ncbigene:2135	interacts
ncbigene:5582	ncbigene:2475	interacts
ncbigene:1962	ncbigene:3684	interacts
pubchem.compound:444795	ncbigene:79003	interacts
ncbigene:3113	ncbigene:2782	interacts
pubchem.compound:39562	ncbigene:113878	interacts
ncbigene:4780	ncbigene:1029	interacts
ncbigene:2852	ncbigene:7421	interacts
ncbigene:2246	ncbigene:2817	interacts
ncbigene:5500	ncbigene:2829	interacts
ncbigene:5582	ncbigene:65083	interacts
ncbigene:4283	ncbigene:3595	interacts
ncbigene:699	ncbigene:51122	downregulates
ncbigene:23112	ncbigene:409	interacts
ncbigene:8786	ncbigene:5230	interacts
ncbigene:5078	ncbigene:192670	interacts
ncbigene:3659	ncbigene:5657	interacts
ncbigene:6599	ncbigene:1432	interacts
ncbigene:4772	ncbigene:7350	upregulates
ncbigene:5196	ncbigene:4067	interacts
ncbigene:4208	ncbigene:6167	interacts
ncbigene:79155	ncbigene:6604	interacts
ncbigene:55839	ncbigene:2908	interacts
ncbigene:22919	ncbigene:472	interacts
ncbigene:392309	ncbigene:1871	upregulates
ncbigene:83597	ncbigene:2782	interacts
ncbigene:102800317	ncbigene:6383	interacts
ncbigene:10724	ncbigene:604	interacts
ncbigene:993	ncbigene:10663	interacts
ncbigene:5465	ncbigene:5880	interacts
ncbigene:7175	ncbigene:6543	interacts
ncbigene:26270	ncbigene:4087	interacts
ncbigene:80204	ncbigene:10971	interacts
ncbigene:65083	ncbigene:627	interacts
ncbigene:6714	ncbigene:3996	interacts
ncbigene:6011	ncbigene:408	interacts
ncbigene:10726	ncbigene:5528	downregulates
ncbigene:2893	ncbigene:1869	interacts
ncbigene:5347	ncbigene:27341	interacts
ncbigene:2491	ncbigene:407033	upregulates
ncbigene:7341	ncbigene:777	interacts
ncbigene:1432	ncbigene:843	interacts
ncbigene:5058	ncbigene:5563	interacts
ncbigene:79023	ncbigene:81565	interacts
ncbigene:2911	ncbigene:2180	interacts
ncbigene:5515	ncbigene:125963	interacts
ncbigene:2242	ncbigene:9184	interacts
ncbigene:3976	ncbigene:5568	interacts
